points,neighbors,projection,projectioncount,avgtime,avgcost,avgsucctime,avgsucccost,success,failed,r1c,r2c,r3c,r4c,r5c,r6c,r7c,r8c,r9c,r10c,it1,it2,it3,it4,it5,it6,it7,it8,it9,it10,r1t,r2t,r3t,r4t,r5t,r6t,r7t,r8t,r9t,r10t
100,1,standard,3,0.467380,0.082710,nan,nan,0,10,0.101043,0.001323,0.094666,0.157529,0.147768,0.000762,0.000055,0.192188,0.130022,0.001744,100,100,100,100,100,100,100,100,100,100,0.47,0.47,0.47,0.46,0.46,0.48,0.47,0.46,0.47,0.47
200,1,standard,3,0.878319,0.077394,nan,nan,0,10,0.005417,0.109749,0.113235,0.073722,0.109657,0.000587,0.124875,0.069483,0.053995,0.113220,100,100,100,100,100,100,100,100,100,100,0.88,0.88,0.88,0.88,0.88,0.88,0.87,0.88,0.87,0.88
300,1,standard,3,1.304227,0.109171,nan,nan,0,10,0.122957,0.088960,0.126484,0.086165,0.151596,0.069285,0.135911,0.100646,0.100443,0.109264,100,100,100,100,100,100,100,100,100,100,1.30,1.32,1.30,1.30,1.30,1.30,1.30,1.31,1.30,1.31
400,1,standard,3,1.719039,0.150211,nan,nan,0,10,0.068228,0.145894,0.142819,0.220428,0.186224,0.103012,0.135197,0.192359,0.211504,0.096448,100,100,100,100,100,100,100,100,100,100,1.71,1.72,1.72,1.72,1.72,1.72,1.72,1.71,1.73,1.73
500,1,standard,3,2.133030,0.168836,nan,nan,0,10,0.208672,0.149690,0.189162,0.163711,0.128731,0.128041,0.178069,0.139108,0.163905,0.239271,100,100,100,100,100,100,100,100,100,100,2.14,2.14,2.13,2.13,2.14,2.15,2.13,2.13,2.11,2.11
600,1,standard,3,2.551735,0.166187,nan,nan,0,10,0.370766,0.170685,0.100234,0.174264,0.055206,0.136334,0.172534,0.278494,0.105782,0.097569,100,100,100,100,100,100,100,100,100,100,2.55,2.55,2.56,2.54,2.55,2.55,2.55,2.57,2.54,2.56
700,1,standard,3,2.963816,0.189070,nan,nan,0,10,0.128074,0.246158,0.148537,0.181589,0.286499,0.176974,0.244678,0.137020,0.136020,0.205154,100,100,100,100,100,100,100,100,100,100,2.96,2.96,2.97,2.96,2.96,2.95,2.96,2.98,2.96,2.97
800,1,standard,3,3.400967,0.157923,nan,nan,0,10,0.234947,0.098527,0.127895,0.165316,0.198504,0.109988,0.162264,0.106065,0.196339,0.179386,100,100,100,100,100,100,100,100,100,100,3.42,3.41,3.39,3.37,3.41,3.42,3.43,3.40,3.37,3.38
900,1,standard,3,3.812139,0.169915,nan,nan,0,10,0.141328,0.096133,0.161224,0.123556,0.167296,0.160968,0.133950,0.249977,0.130976,0.333744,100,100,100,100,100,100,100,100,100,100,3.82,3.82,3.82,3.77,3.80,3.82,3.80,3.82,3.84,3.82
1000,1,standard,3,4.228861,0.190372,nan,nan,0,10,0.141802,0.167399,0.208917,0.294961,0.187016,0.133425,0.250873,0.225396,0.145458,0.148475,100,100,100,100,100,100,100,100,100,100,4.24,4.21,4.23,4.23,4.21,4.23,4.25,4.19,4.21,4.29
1100,1,standard,3,4.649844,0.152457,nan,nan,0,10,0.132312,0.178120,0.119804,0.181439,0.146505,0.158369,0.113024,0.187187,0.177738,0.130074,100,100,100,100,100,100,100,100,100,100,4.64,4.69,4.63,4.64,4.64,4.62,4.65,4.62,4.71,4.66
1200,1,standard,3,5.064699,0.133113,nan,nan,0,10,0.089203,0.136748,0.134403,0.117900,0.162564,0.115182,0.129070,0.139192,0.140800,0.166062,100,100,100,100,100,100,100,100,100,100,5.11,5.05,5.04,5.09,5.09,5.04,5.05,5.06,5.08,5.04
1300,1,standard,3,5.474755,0.162447,nan,nan,0,10,0.146838,0.185153,0.127766,0.181320,0.117376,0.115166,0.202648,0.125414,0.301056,0.121728,100,100,100,100,100,100,100,100,100,100,5.52,5.47,5.45,5.47,5.50,5.51,5.45,5.46,5.45,5.46
