points,neighbors,projection,projectioncount,avgtime,avgcost,avgsucctime,avgsucccost,success,failed,r1c,r2c,r3c,r4c,r5c,r6c,r7c,r8c,r9c,r10c,it1,it2,it3,it4,it5,it6,it7,it8,it9,it10,r1t,r2t,r3t,r4t,r5t,r6t,r7t,r8t,r9t,r10t
100,1,None,3,0.494698,0.139498,nan,nan,0,10,0.175809,0.129166,0.016272,0.155014,0.046475,0.066381,0.013519,0.301259,0.203391,0.287696,100,100,100,100,100,100,100,100,100,100,0.50,0.49,0.50,0.49,0.49,0.50,0.50,0.49,0.50,0.49
200,1,None,3,0.912343,0.235408,nan,nan,0,10,0.096522,0.214547,0.268921,0.187423,0.379675,0.201534,0.206931,0.193490,0.301724,0.303310,100,100,100,100,100,100,100,100,100,100,0.92,0.91,0.91,0.91,0.91,0.91,0.92,0.91,0.91,0.92
300,1,None,3,1.334267,0.218862,nan,nan,0,10,0.267018,0.169902,0.171154,0.178641,0.281456,0.193112,0.271051,0.262171,0.213928,0.180183,100,100,100,100,100,100,100,100,100,100,1.33,1.32,1.34,1.34,1.33,1.34,1.33,1.34,1.34,1.33
400,1,None,3,1.754912,0.213326,nan,nan,0,10,0.143437,0.150375,0.378380,0.270805,0.211937,0.298056,0.267613,0.228970,0.084511,0.099180,100,100,100,100,100,100,100,100,100,100,1.75,1.76,1.76,1.76,1.75,1.76,1.75,1.77,1.75,1.75
500,1,None,3,2.170472,0.314268,nan,nan,0,10,0.387851,0.351670,0.232344,0.426624,0.165940,0.236561,0.386207,0.369761,0.293696,0.292028,100,100,100,100,100,100,100,100,100,100,2.17,2.18,2.18,2.17,2.15,2.16,2.18,2.18,2.18,2.15
600,1,None,3,2.586857,0.286469,nan,nan,0,10,0.195371,0.321812,0.230294,0.293292,0.348366,0.166412,0.326766,0.249836,0.321604,0.410936,100,100,100,100,100,100,100,100,100,100,2.59,2.57,2.58,2.59,2.57,2.59,2.59,2.59,2.59,2.59
700,1,None,3,3.019430,0.338075,nan,nan,0,10,0.382421,0.410776,0.392479,0.261764,0.258171,0.403067,0.178660,0.334655,0.393422,0.365331,100,100,100,100,100,100,100,100,100,100,3.02,3.05,3.00,3.03,3.00,3.03,3.04,3.02,3.02,2.99
800,1,None,3,3.432152,0.360597,nan,nan,0,10,0.369714,0.223404,0.357276,0.414069,0.402415,0.345038,0.350897,0.411705,0.413051,0.318399,100,100,100,100,100,100,100,100,100,100,3.42,3.43,3.43,3.44,3.44,3.45,3.44,3.42,3.43,3.43
900,1,None,3,3.843163,0.298460,nan,nan,0,10,0.155102,0.270461,0.461671,0.213097,0.219019,0.429695,0.357234,0.310290,0.367390,0.200642,100,100,100,100,100,100,100,100,100,100,3.83,3.82,3.85,3.85,3.82,3.83,3.87,3.85,3.87,3.84
1000,1,None,3,4.278002,0.365700,nan,nan,0,10,0.392144,0.257296,0.347317,0.360328,0.411042,0.416112,0.371724,0.318283,0.400736,0.382019,100,100,100,100,100,100,100,100,100,100,4.27,4.31,4.28,4.26,4.28,4.24,4.27,4.28,4.32,4.25
1100,1,None,3,4.696376,0.387301,nan,nan,0,10,0.354595,0.377888,0.369114,0.430554,0.336529,0.383644,0.392586,0.443210,0.429597,0.355291,100,100,100,100,100,100,100,100,100,100,4.67,4.71,4.70,4.71,4.67,4.70,4.74,4.69,4.66,4.70
1200,1,None,3,5.117940,0.360664,nan,nan,0,10,0.347049,0.207059,0.395533,0.436241,0.381038,0.411472,0.272376,0.403969,0.346833,0.405070,100,100,100,100,100,100,100,100,100,100,5.14,5.13,5.12,5.10,5.11,5.10,5.12,5.14,5.13,5.10
1300,1,None,3,5.538690,0.417149,nan,nan,0,10,0.431639,0.393788,0.456987,0.430060,0.425117,0.359625,0.429157,0.431137,0.360953,0.453022,100,100,100,100,100,100,100,100,100,100,5.54,5.58,5.53,5.54,5.53,5.52,5.55,5.55,5.53,5.52
1400,1,None,3,5.967289,0.377765,nan,nan,0,10,0.389134,0.369777,0.365039,0.269903,0.403987,0.385747,0.371663,0.386749,0.408080,0.427569,100,100,100,100,100,100,100,100,100,100,6.07,5.94,6.00,5.96,5.96,5.94,5.94,5.99,5.95,5.93
