0,1,2,3,4,5,6,7,8,9,19,18,17,16,15,14,13,12,11,10,20,21,22,23,24,25,26,27,28,29,39,38,37,36,35,34,33,32,31,30,40,41,42,43,44,45,46,47,48,49,59,58,57,56,55,54,53,52,51,50,60,61,62,63,64,65,66,67,68,69,79,78,77,76,75,74,73,72,71,70,80,81,82,83,84,85,86,87,88,89,99,98,97,96,95,94,93,92,91,90
1,0,1,2,3,4,5,6,7,8,18,17,16,15,14,13,12,11,10,9,19,20,21,22,23,24,25,26,27,28,38,37,36,35,34,33,32,31,30,29,39,40,41,42,43,44,45,46,47,48,58,57,56,55,54,53,52,51,50,49,59,60,61,62,63,64,65,66,67,68,78,77,76,75,74,73,72,71,70,69,79,80,81,82,83,84,85,86,87,88,98,97,96,95,94,93,92,91,90,89
2,1,0,1,2,3,4,5,6,7,17,16,15,14,13,12,11,10,9,8,18,19,20,21,22,23,24,25,26,27,37,36,35,34,33,32,31,30,29,28,38,39,40,41,42,43,44,45,46,47,57,56,55,54,53,52,51,50,49,48,58,59,60,61,62,63,64,65,66,67,77,76,75,74,73,72,71,70,69,68,78,79,80,81,82,83,84,85,86,87,97,96,95,94,93,92,91,90,89,88
3,2,1,0,1,2,3,4,5,6,16,15,14,13,12,11,10,9,8,7,17,18,19,20,21,22,23,24,25,26,36,35,34,33,32,31,30,29,28,27,37,38,39,40,41,42,43,44,45,46,56,55,54,53,52,51,50,49,48,47,57,58,59,60,61,62,63,64,65,66,76,75,74,73,72,71,70,69,68,67,77,78,79,80,81,82,83,84,85,86,96,95,94,93,92,91,90,89,88,87
4,3,2,1,0,1,2,3,4,5,15,14,13,12,11,10,9,8,7,6,16,17,18,19,20,21,22,23,24,25,35,34,33,32,31,30,29,28,27,26,36,37,38,39,40,41,42,43,44,45,55,54,53,52,51,50,49,48,47,46,56,57,58,59,60,61,62,63,64,65,75,74,73,72,71,70,69,68,67,66,76,77,78,79,80,81,82,83,84,85,95,94,93,92,91,90,89,88,87,86
5,4,3,2,1,0,1,2,3,4,14,13,12,11,10,9,8,7,6,5,15,16,17,18,19,20,21,22,23,24,34,33,32,31,30,29,28,27,26,25,35,36,37,38,39,40,41,42,43,44,54,53,52,51,50,49,48,47,46,45,55,56,57,58,59,60,61,62,63,64,74,73,72,71,70,69,68,67,66,65,75,76,77,78,79,80,81,82,83,84,94,93,92,91,90,89,88,87,86,85
6,5,4,3,2,1,0,1,2,3,13,12,11,10,9,8,7,6,5,4,14,15,16,17,18,19,20,21,22,23,33,32,31,30,29,28,27,26,25,24,34,35,36,37,38,39,40,41,42,43,53,52,51,50,49,48,47,46,45,44,54,55,56,57,58,59,60,61,62,63,73,72,71,70,69,68,67,66,65,64,74,75,76,77,78,79,80,81,82,83,93,92,91,90,89,88,87,86,85,84
7,6,5,4,3,2,1,0,1,2,12,11,10,9,8,7,6,5,4,3,13,14,15,16,17,18,19,20,21,22,32,31,30,29,28,27,26,25,24,23,33,34,35,36,37,38,39,40,41,42,52,51,50,49,48,47,46,45,44,43,53,54,55,56,57,58,59,60,61,62,72,71,70,69,68,67,66,65,64,63,73,74,75,76,77,78,79,80,81,82,92,91,90,89,88,87,86,85,84,83
8,7,6,5,4,3,2,1,0,1,11,10,9,8,7,6,5,4,3,2,12,13,14,15,16,17,18,19,20,21,31,30,29,28,27,26,25,24,23,22,32,33,34,35,36,37,38,39,40,41,51,50,49,48,47,46,45,44,43,42,52,53,54,55,56,57,58,59,60,61,71,70,69,68,67,66,65,64,63,62,72,73,74,75,76,77,78,79,80,81,91,90,89,88,87,86,85,84,83,82
9,8,7,6,5,4,3,2,1,0,10,9,8,7,6,5,4,3,2,1,11,12,13,14,15,16,17,18,19,20,30,29,28,27,26,25,24,23,22,21,31,32,33,34,35,36,37,38,39,40,50,49,48,47,46,45,44,43,42,41,51,52,53,54,55,56,57,58,59,60,70,69,68,67,66,65,64,63,62,61,71,72,73,74,75,76,77,78,79,80,90,89,88,87,86,85,84,83,82,81
19,18,17,16,15,14,13,12,11,10,0,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,10,20,19,18,17,16,15,14,13,12,11,21,22,23,24,25,26,27,28,29,30,40,39,38,37,36,35,34,33,32,31,41,42,43,44,45,46,47,48,49,50,60,59,58,57,56,55,54,53,52,51,61,62,63,64,65,66,67,68,69,70,80,79,78,77,76,75,74,73,72,71
18,17,16,15,14,13,12,11,10,9,1,0,1,2,3,4,5,6,7,8,2,3,4,5,6,7,8,9,10,11,21,20,19,18,17,16,15,14,13,12,22,23,24,25,26,27,28,29,30,31,41,40,39,38,37,36,35,34,33,32,42,43,44,45,46,47,48,49,50,51,61,60,59,58,57,56,55,54,53,52,62,63,64,65,66,67,68,69,70,71,81,80,79,78,77,76,75,74,73,72
17,16,15,14,13,12,11,10,9,8,2,1,0,1,2,3,4,5,6,7,3,4,5,6,7,8,9,10,11,12,22,21,20,19,18,17,16,15,14,13,23,24,25,26,27,28,29,30,31,32,42,41,40,39,38,37,36,35,34,33,43,44,45,46,47,48,49,50,51,52,62,61,60,59,58,57,56,55,54,53,63,64,65,66,67,68,69,70,71,72,82,81,80,79,78,77,76,75,74,73
16,15,14,13,12,11,10,9,8,7,3,2,1,0,1,2,3,4,5,6,4,5,6,7,8,9,10,11,12,13,23,22,21,20,19,18,17,16,15,14,24,25,26,27,28,29,30,31,32,33,43,42,41,40,39,38,37,36,35,34,44,45,46,47,48,49,50,51,52,53,63,62,61,60,59,58,57,56,55,54,64,65,66,67,68,69,70,71,72,73,83,82,81,80,79,78,77,76,75,74
15,14,13,12,11,10,9,8,7,6,4,3,2,1,0,1,2,3,4,5,5,6,7,8,9,10,11,12,13,14,24,23,22,21,20,19,18,17,16,15,25,26,27,28,29,30,31,32,33,34,44,43,42,41,40,39,38,37,36,35,45,46,47,48,49,50,51,52,53,54,64,63,62,61,60,59,58,57,56,55,65,66,67,68,69,70,71,72,73,74,84,83,82,81,80,79,78,77,76,75
14,13,12,11,10,9,8,7,6,5,5,4,3,2,1,0,1,2,3,4,6,7,8,9,10,11,12,13,14,15,25,24,23,22,21,20,19,18,17,16,26,27,28,29,30,31,32,33,34,35,45,44,43,42,41,40,39,38,37,36,46,47,48,49,50,51,52,53,54,55,65,64,63,62,61,60,59,58,57,56,66,67,68,69,70,71,72,73,74,75,85,84,83,82,81,80,79,78,77,76
13,12,11,10,9,8,7,6,5,4,6,5,4,3,2,1,0,1,2,3,7,8,9,10,11,12,13,14,15,16,26,25,24,23,22,21,20,19,18,17,27,28,29,30,31,32,33,34,35,36,46,45,44,43,42,41,40,39,38,37,47,48,49,50,51,52,53,54,55,56,66,65,64,63,62,61,60,59,58,57,67,68,69,70,71,72,73,74,75,76,86,85,84,83,82,81,80,79,78,77
12,11,10,9,8,7,6,5,4,3,7,6,5,4,3,2,1,0,1,2,8,9,10,11,12,13,14,15,16,17,27,26,25,24,23,22,21,20,19,18,28,29,30,31,32,33,34,35,36,37,47,46,45,44,43,42,41,40,39,38,48,49,50,51,52,53,54,55,56,57,67,66,65,64,63,62,61,60,59,58,68,69,70,71,72,73,74,75,76,77,87,86,85,84,83,82,81,80,79,78
11,10,9,8,7,6,5,4,3,2,8,7,6,5,4,3,2,1,0,1,9,10,11,12,13,14,15,16,17,18,28,27,26,25,24,23,22,21,20,19,29,30,31,32,33,34,35,36,37,38,48,47,46,45,44,43,42,41,40,39,49,50,51,52,53,54,55,56,57,58,68,67,66,65,64,63,62,61,60,59,69,70,71,72,73,74,75,76,77,78,88,87,86,85,84,83,82,81,80,79
10,9,8,7,6,5,4,3,2,1,9,8,7,6,5,4,3,2,1,0,10,11,12,13,14,15,16,17,18,19,29,28,27,26,25,24,23,22,21,20,30,31,32,33,34,35,36,37,38,39,49,48,47,46,45,44,43,42,41,40,50,51,52,53,54,55,56,57,58,59,69,68,67,66,65,64,63,62,61,60,70,71,72,73,74,75,76,77,78,79,89,88,87,86,85,84,83,82,81,80
