,3.442160378810292354e+00,-6.938721505471582063e+00,-1.994378757464262364e+01
0,4.481536674920572,-6.419921632639806,-19.88287248599417
151,2.972619955524653,-3.211575847035236,6.208700521237991
222,6.00808964302373,6.556762182771804,14.908303522378265
135,-3.0441011195862075,-3.152947666619139,3.984596173887508
188,2.511578812230357,-0.057880134681081975,12.218142159183907
121,-2.92363217833704,3.702543294757516,2.078608324143365
240,-1.3018831780636286,-7.106648467307095,16.30206550636775
79,3.8866082205113783,0.959200224687164,-6.750328891806757
85,2.713135437564665,10.933194633112668,-6.1697109644434835
35,4.314149951523626,3.448625651606167,-14.698914622946992
194,11.371131101276125,-20.63551168501595,12.627651866342857
174,2.684539945314208,-5.881124176349465,10.611003978739944
83,-0.39059025159013855,9.207771993933743,-6.29868379754472
203,2.4641234114895747,7.263227714732888,13.23003670735625
116,-2.8691750398406146,1.4550683254856238,1.054229066037037
236,-8.022850393772314,-10.260053205508333,15.925664185929923
77,-2.4094208604348,9.266467485065089,-7.351490202211044
65,4.899590361595731,6.4661471866130125,-10.117827247503207
223,7.934033206638961,6.561428015064258,15.043262971518852
46,-2.090873709715137,6.076329458387559,-13.368799728159962
162,-0.30326565581905596,-3.484232282599596,8.628560451503127
42,5.202276875193993,-7.194454479429098,-13.85580808474085
13,5.556680185447244,3.9668101328747905,-17.632726347669628
69,3.833795744833188,1.2888929318801874,-9.231461295860512
33,-2.1832325460860162,3.933993144439442,-14.90147572583954
31,-6.233548932812705,-3.838004961488704,-15.200287467993968
81,5.902971213260955,3.1602502110922313,-6.642820142102799
22,-6.170210603779364,-4.950349263259786,-16.234836626726995
60,5.910372231679375,1.3753663949187545,-11.156206859568846
205,5.328046381933254,-15.164221410653834,13.36037984258854
158,-2.36243231028903,1.0615927916689492,7.573383412765197
45,-7.206551293505827,7.88882327972184,-13.4700539205237
208,9.003434952850451,-5.12253979115258,14.11508232913756
226,-9.867141152203404,-7.921189400800584,15.030964087657354
34,-0.025169835913321722,3.771941674901645,-14.85347820076153
145,-0.052885683104899044,-2.580962315315374,5.111254745374628
128,5.180345655359216,-4.541716300378199,2.7451883095167835
98,3.564932781137173,4.534101011640116,-3.2059910441085337
114,2.270755844410174,5.389630311178423,0.30411656803487996
101,-0.6339848135910588,2.3518485844929944,-2.3856027441548946
29,5.434856560688707,-14.978668485385858,-15.633431470373958
6,-2.7630010969526198,2.154252791911224,-18.47022479379961
111,-1.8078656259578545,0.8962757262879465,0.0886245278095379
152,3.9962771629224014,-2.6656734786826535,6.245689974748704
141,5.104995310571884,1.3125548112378878,4.330117864344506
51,-6.09111883754519,-7.7441800551228255,-12.756078353238575
187,1.5847114017394084,-0.7577877203890363,12.159279048233657
99,4.5815555146257685,8.595239616690526,-3.117749355200265
247,7.783697982931429,7.847280145416918,17.0095221291998
217,-1.1527924183463039,4.609803843413501,14.6134861892784
184,-5.076437782844712,-7.659718602538966,11.697292280159058
190,6.3480597375781525,2.5579752765723245,12.453943679578332
54,4.945935699986023,0.8348818317907395,-12.199249780669593
239,-3.166386618619014,-8.4559323533461,16.1597933993693
